"protocol","action","log_type","Total_Bytes_Transferred","Total_Websites"
"TCP","allowed","ids",6262165735,249782
"TCP","blocked","application",6256904609,249855
"TCP","blocked","firewall",6255662591,249721
"TCP","allowed","application",6248774222,249697
"TCP","blocked","ids",6237556711,249300
"TCP","allowed","firewall",6235504547,249138
"HTTP","allowed","application",5028053109,200600
"HTTP","allowed","ids",5023805844,200485
"HTTP","blocked","firewall",5023543781,200192
"HTTPS","allowed","application",5018904600,200109
"HTTP","allowed","firewall",5018276322,200369
"HTTP","blocked","ids",5015608773,200264
"HTTPS","allowed","ids",5012820136,200201
"HTTPS","blocked","application",5009689795,199844
"HTTPS","allowed","firewall",5006422438,199895
"HTTP","blocked","application",5006421088,199618
"HTTPS","blocked","ids",5004335055,199961
"HTTPS","blocked","firewall",5001469717,199960
"UDP","allowed","application",3773183151,150501
"UDP","blocked","firewall",3763549571,150251
"UDP","blocked","application",3756158152,150309
"UDP","blocked","ids",3750466429,149980
"UDP","allowed","ids",3749309057,149912
"UDP","allowed","firewall",3741316886,149469
"ICMP","allowed","application",2516039197,100353
"ICMP","allowed","firewall",2506447257,100092
"ICMP","allowed","ids",2503801563,100077
"ICMP","blocked","application",2503413009,99943
"ICMP","blocked","ids",2497545036,99735
"ICMP","blocked","firewall",2493942701,99703
"SSH","blocked","ids",1264147102,50204
"FTP","allowed","application",1263326290,50403
"FTP","blocked","application",1260332030,50251
"SSH","blocked","application",1257648103,50277
"SSH","allowed","firewall",1256361376,50121
"FTP","blocked","ids",1255030554,50037
"FTP","blocked","firewall",1253043638,50057
"SSH","allowed","ids",1252660880,49962
"SSH","blocked","firewall",1252178776,49892
"SSH","allowed","application",1250787743,50008
"FTP","allowed","firewall",1248479731,49816
"FTP","allowed","ids",1243866021,49656
